stat	ploidy	miss_pct	estimator	mean	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
thetaw	6	0.25	new_multi	0.03615960331078755	0.03247028936409003	0.03985638257493399	0.0018835695823064484	20000	0.036176745507389	1.3318848244856024e-5	0.03613349836822763	0.036185708253347465
thetaw	6	0.5	new	0.03284994607178193	0.029603185375378323	0.036109008685901174	0.001655965844875442	20000	0.034427150209906485	1.1709446783247356e-5	0.032826995556086765	0.0328728965874771
thetaw	6	0.5	new_multi	0.03616922090993687	0.032365964208925325	0.03997182481383314	0.0019357209301336204	20000	0.03618942770062481	1.3687613961822142e-5	0.0361423931865717	0.036196048633302044
thetaw	6	0.75	new	0.033073067922706215	0.029606823367196375	0.03659700468944822	0.001772962289628392	20000	0.03458611531378564	1.2536736577842636e-5	0.03304849591901364	0.03309763992639879
thetaw	6	0.75	new_multi	0.03619831372828787	0.03218151093967988	0.040255129208530395	0.002045369693487827	20000	0.03621757375590624	1.4462947802986926e-5	0.03616996635059402	0.036226661105981724
thetaw	8	0	new	0.03243596756050062	0.029582448852116	0.035290403251635	0.0014565587879019103	100000	0.03414209453407039	4.606043315704143e-6	0.032426939715601844	0.0324449954053994
thetaw	8	0	new_multi	0.03612602414078629	0.032727776732091	0.039551952262903	0.0017463085660552493	100000	0.03613022600478444	5.5223125661971915e-6	0.03611520040815654	0.03613684787341604
thetaw	8	0.1	new	0.03242361867090842	0.0295189770881335	0.03529968668830224	0.0014749328709063023	20000	0.03414209453407039	1.042935034812789e-5	0.03240317714422609	0.03244406019759075
thetaw	8	0.1	new_multi	0.036110527067125336	0.03265474682194065	0.0396150596356007	0.0017647735675495862	20000	0.03613022600478444	1.247883356873088e-5	0.03608606855333062	0.03613498558092005
thetaw	8	0.25	new	0.03250584770302216	0.029537928913299226	0.03545737992949789	0.001507655707089285	20000	0.03420111826626833	1.0660735741774326e-5	0.032484952660968285	0.03252674274507603
thetaw	8	0.25	new_multi	0.036123813297694575	0.0326170433293358	0.03968805745814935	0.0017954793275082787	20000	0.036143284334950246	1.269595607961366e-5	0.03609892922377853	0.03614869737161062
