stat	ploidy	miss_pct	estimator	mean	n_windows	q025	q975	sd_value	n_reps	theoretical	se_mean	ci_lo	ci_hi
fst_hudson	2	0.75	new	0.23720728786899775	2000	0.22038233459712425	0.25527467375837465	0.008784857429533145	2000	0.23695960499175686	1.964353838508018e-4	0.23682227451665017	0.23759230122134534
fst_hudson	2	0.75	new_multi	0.2356858470042998	2000	0.21913433052550832	0.2528777706162263	0.008599307481725054	2000	0.23695960499175686	1.922863608855975e-4	0.23530896573696403	0.23606272827163555
fst_hudson	4	0	new	0.23677155704392197	10000	0.2211633539078265	0.25279003781234083	0.008035229849845532	10000	0.23695960499175686	8.035229849845532e-5	0.236614066538865	0.23692904754897895
fst_hudson	4	0	new_multi	0.23554685768191636	10000	0.220214135666259	0.2513283166980806	0.007865270457536544	10000	0.23695960499175686	7.865270457536544e-5	0.23539269838094865	0.23570101698288407
fst_hudson	4	0.1	new	0.23689396569487822	2000	0.22125671404512198	0.2522696206570457	0.007998790112300298	2000	0.23695960499175686	1.788583842885664e-4	0.23654340326167264	0.2372445281280838
fst_hudson	4	0.1	new_multi	0.2356570860941704	2000	0.22033835518978392	0.2505160885318737	0.007804256976643724	2000	0.23695960499175686	1.7450849113652354e-4	0.23531504945154283	0.235999122736798
fst_hudson	4	0.25	new	0.23691709133129615	2000	0.22100145153230616	0.252630416555504	0.008063220806829002	2000	0.23695960499175686	1.8029909841660348e-4	0.2365637050983996	0.2372704775641927
fst_hudson	4	0.25	new_multi	0.23566879459816026	2000	0.2203360296618515	0.2509182522885146	0.007868714531439194	2000	0.23695960499175686	1.7594980587838443e-4	0.23532393297863863	0.2360136562176819
fst_hudson	4	0.5	new	0.23693586939737682	2000	0.2213264690749973	0.2521905408132488	0.008135907052239072	2000	0.23695960499175686	1.8192441227426497e-4	0.23657929754931925	0.2372924412454344
fst_hudson	4	0.5	new_multi	0.23564936613191967	2000	0.2205858272521571	0.2508035222608697	0.00791479075339353	2000	0.23695960499175686	1.7698010152274705e-4	0.23530248513293509	0.23599624713090425
